Days,Time,Building and Room,Seats,Enrolled,Waits,Dept_name,ClassName,Professor,
M-W----, 10:00A-11:20A, Seigle / L002, 19, 15, 0, EDUCATION(L12), Linguistics and Language Learning, Brantmeier, 
M------, 2:30P-5:20P, Seigle / 111, 9, 5, 0, EDUCATION(L12), History of Higher Education in American Culture, Aurora Kamimura, 
--W----, 1:00P-4:00P, Seigle / 134, 5, 1, 0, EDUCATION(L12), Teaching Writing in School Contexts, Jason Heisserer, 
--W----, 4:00P-6:50P, Seigle / L004, 15, 13, 0, EDUCATION(L12), The Construction and Experience of Black Adolescence, Nichols Lodato, 
--W----, 4:00P-6:50P, Seigle / 148, 10, 6, 0, EDUCATION(L12), Mathematics for Elementary School Teachers, Tyler Harger, 
-T-----, 1:00P-4:00P, Seigle / 148, 10, 7, 0, EDUCATION(L12), Teaching Reading in the Elementary School, Kerri Fair, 
M-W----, 10:00A-11:20A, Simon / 020, 10, 7, 0, EDUCATION(L12), History Education In & Beyond the Classroom, Lisa Gilbert, 
---R---, 4:00P-6:50P, Seigle / L013, 10, 6, 0, EDUCATION(L12), The Teaching-Learning Process in Elementary School, Nancy Hollingsworth, 
M------, 5:30P-8:30P, Seigle / 148, 10, 6, 0, EDUCATION(L12), Field Experience Seminar, Jessica Bockskopf, 
MTWRF--, 8:30A-3:50P, (None) /, 10, 3, 0, EDUCATION(L12), Student Teaching in the Elementary School, Nancy Hollingsworth, 
MTWRF--, 8:30A-3:50P, (None) /, 10, 3, 0, EDUCATION(L12), Student Teaching in the Elementary School, Jessica Bockskopf, 
---R---, 2:30P-5:20P, (None) /, 5, 2, 0, EDUCATION(L12), Instructional Techniques for Art K-12, Jocelyn Meyer, 
--W----, 4:00P-6:50P, Seigle / 303, 10, 9, 0, EDUCATION(L12), Diversity Equity and Inclusion in Higher Education, Mark Kamimura-Jimenez, 
-T-----, 4:30P-7:20P, Mallinckrodt / 305, 15, 12, 0, EDUCATION(L12), Sociolinguistics Literacies Schools and Communities, Angela Kelly Jennifer Riesenmy, 
M-W----, 10:00A-11:20A, Seigle / 304, 24, 23, 0, EDUCATION(L12), Education Childhood Adolescence and Society, Jennifer Ramirez, 
-T-R---, 1:00P-2:20P, Seigle / 304, 24, 23, 0, EDUCATION(L12), Education Childhood Adolescence and Society, Amber Jones, 
M-W----, 2:00P-3:20P, Seigle / 148, 3, 2, 0, EDUCATION(L12), Educational Statistics I, Mark Hogrebe, 
-T-----, 4:30P-7:20P, Seigle / 148, 10, 6, 0, EDUCATION(L12), Diagnosis and Correction of Reading Disabilities, Kerri Fair, 
---R---, 4:30P-7:20P, Seigle / 148, 10, 3, 0, EDUCATION(L12), Instructional Interventions in Reading for Adolescents and English Language Learners, Kerri Fair, 
M------, 2:30P-5:20P, Seigle / 111, 9, 5, 0, EDUCATION(L12), History of Higher Education in American Culture, Aurora Kamimura, 
--W----, 4:00P-5:50P, Seigle / 304, 10, 4, 0, EDUCATION(L12), Curriculum and Instruction for Secondary Teachers, Lisa Gilbert, 
---R---, 5:00P-7:20P, (None) /, 5, 2, 0, EDUCATION(L12), Curriculum and Instruction in Art K-12, Jocelyn Meyer, 
-T-----, 4:30P-7:20P, Seigle / 210, 0, 13, 0, EDUCATION(L12), Education and Psychology of Exceptional Children, Pam Washington, 
----F--, 3:00P-5:00P, (None) /, 5, 1, 0, EDUCATION(L12), Curriculum and Instruction in Secondary English, Megan Roegner, 
---R---, 4:00P-6:50P, Seigle / 304, 0, 11, 0, EDUCATION(L12), Educational Psychology: A Focus on Teaching and Learning in School Settings, Lisa Gilbert, 
----F--, 10:00A-10:50A, Seigle / 148, 0, 12, 0, EDUCATION(L12), Educational Psychology Lab: A Focus on Teaching and Learning in School Settings, Jessica Bockskopf, 
----F--, 3:00P-5:00P, (None) /, 5, 1, 0, EDUCATION(L12), Curriculum and Instruction in Secondary Social Science, Rachel Kleinberg, 
--W----, 1:00P-4:00P, Seigle / 134, 5, 1, 0, EDUCATION(L12), Teaching Writing in School Contexts, Jason Heisserer, 
--W----, 4:00P-6:50P, Seigle / 148, 10, 6, 0, EDUCATION(L12), Mathematics for Elementary School Teachers, Tyler Harger, 
-T-----, 1:00P-4:00P, Seigle / 148, 10, 7, 0, EDUCATION(L12), Teaching Reading in the Elementary School, Kerri Fair, 
M-W----, 10:00A-11:20A, Simon / 020, 10, 7, 0, EDUCATION(L12), History Education In & Beyond the Classroom, Lisa Gilbert, 
---R---, 4:00P-6:50P, Seigle / L013, 10, 6, 0, EDUCATION(L12), The Teaching-Learning Process in Elementary School, Nancy Hollingsworth, 
M------, 5:30P-8:30P, Seigle / 148, 10, 6, 0, EDUCATION(L12), Field Experience Seminar, Jessica Bockskopf, 
---R---, 1:00P-4:00P, Seigle / 148, 7, 3, 0, EDUCATION(L12), Doctoral Seminar:  Studying the Complex Dimensions of Urban Educational Settings, Rowhea Elmesky, 
MTWRF--, 8:30A-3:50P, (None) /, 10, 3, 0, EDUCATION(L12), Student Teaching in the Elementary School, Nancy Hollingsworth, 
MTWRF--, 8:30A-3:50P, (None) /, 10, 3, 0, EDUCATION(L12), Student Teaching in the Elementary School, Jessica Bockskopf, 
M-W-F--, 9:00A-9:50A, Ridgley / 219, 15, 7, 0, HEBREW(L74), First Year Modern Hebrew, Tamir, 
M-W-F--, 10:00A-10:50A, Ridgley / 219, 15, 10, 0, HEBREW(L74), First Year Modern Hebrew, Tamir, 
M-W-F--, 11:00A-11:50A, Cupples I / 111, 15, 6, 0, HEBREW(L74), First Year Modern Hebrew, Weinberg, 
M-W-F--, 12:00P-12:50P, Cupples I / 111, 15, 14, 0, HEBREW(L74), Second Year Modern Hebrew, Weinberg, 
-T-R---, 1:00P-2:20P, Seigle / 208, 40, 29, 0, HEBREW(L74), Introduction to Jewish Civilization: Texts People and Politics, Hendin, 
M-W----, 11:30A-12:50P, Busch / 100, 100, 92, 0, HEBREW(L74), Introduction to Islamic Civilization, Yucesoy, 
M-W-F--, 1:00P-1:50P, Cupples I / 111, 15, 12, 0, HEBREW(L74), Third-Level Modern Hebrew I, Weinberg, 
M-W----, 10:00A-11:20A, Wrighton / 260, 10, 1, 0, HEBREW(L74), Introduction to Biblical Hebrew, Barmash, 
M-W----, 2:30P-3:50P, Cupples II / 203, 15, 3, 0, HEBREW(L74), Capstone Seminar: Conferring Birds and Talking Dogs: Animal Studies in JIMES, Berg, 
M-W----, 1:00P-2:20P, Cupples II / L011, 15, 6, 0, HEBREW(L74), Fourth-Level Modern Hebrew I, Tamir, 
M-W----, 8:30A-9:50A, Somers Family / 251, 45, 26, 0, LEGAL STUDIES(L84), Logic and Critical Analysis, Heil, 
M-W----, 2:30P-3:50P, Somers Family / 251, 45, 36, 0, LEGAL STUDIES(L84), Logic and Critical Analysis, Heil, 
-T-R---, 2:30P-3:50P, Cupples II / L001, 19, 17, 0, LEGAL STUDIES(L84), Early Political Thought: Text and Traditions, Gais, 
M-W----, 10:00A-11:20A, Seigle / L004, 19, 13, 0, LEGAL STUDIES(L84), Early Political Thought: Text and Traditions, Lovett, 
-T-R---, 10:00A-11:20A, Eads / 203, 45, 33, 0, LEGAL STUDIES(L84), The Theory and Practice of Justice: The American Historical Experience, Bernstein, 
-T-R---, 8:30A-9:50A, Eads / 204, 35, 28, 0, LEGAL STUDIES(L84), Introduction to Environmental Ethics, Gulledge, 
-T-R---, 10:00A-11:20A, Eads / 204, 35, 34, 0, LEGAL STUDIES(L84), Introduction to Environmental Ethics, Gulledge, 
TBA, , TBA, 5, 3, 0, LEGAL STUDIES(L84), Undergraduate Internship in Legal Studies, Lovett, 
M-W----, 11:30A-12:50P, Seigle / 204, 15, 13, 0, LEGAL STUDIES(L84), Topics in Composition: Writing and Law, Thomas, 
M-W-F--, 3:00P-3:50P, Brown / 118, 175, 86, 0, LEGAL STUDIES(L84), Introduction to Social Psychology, Lambert, 
-T-R---, 10:00A-11:20A, Wrighton / 201, 48, 35, 0, LEGAL STUDIES(L84), Topics in Politics: The Politics of Public Policy, Butler, 
-T-R---, 1:00P-2:20P, Umrath / 140, 54, 49, 0, LEGAL STUDIES(L84), Defendant's Rights, Spriggs, 
-T-R---, 10:00A-11:20A, Umrath / 140, 50, 41, 0, LEGAL STUDIES(L84), Topics in American Politics: The Supreme Court, Spriggs, 
--W----, 4:00P-6:50P, AB Law Bldg / 404, 22, 19, 0, LEGAL STUDIES(L84), Law Gender and Justice, Tokarz, 
-T-R---, 2:30P-3:50P, McMillan / 259, 15, 14, 0, LEGAL STUDIES(L84), Interrogating "Crime and Punishment", Svobodny, 
-T-R---, 4:00P-5:20P, (None) /, 15, 11, 0, LEGAL STUDIES(L84), Interrogating "Crime and Punishment", Svobodny, 
TBA, , TBA, 999, 0, 0, LEGAL STUDIES(L84), Directed Fieldwork in Legal Research, Lovett, 
-T-R---, 2:30P-3:50P, Seigle / 104, 25, 11, 0, LEGAL STUDIES(L84), Political Sociology, Adler, 
-T-R---, 4:00P-5:20P, Lopata Hall / 103, 20, 19, 0, LEGAL STUDIES(L84), Intro to Environmental Law, Hubertz, 
M-W----, 8:30A-9:50A, Seigle / 205, 25, 15, 0, LEGAL STUDIES(L84), Social Theory and Anthropology, Bowen, 
M-W----, 10:00A-10:50A, Sumers Rec Ctr / SUM, 30, 25, 0, PHYSICAL EDUCATION(L28), Beginning Weight Training, Halliburton Collins, 
M-W----, 9:00A-9:50A, Sumers Rec Ctr / SUM, 33, 29, 0, PHYSICAL EDUCATION(L28), Beginning Weight Training, Williams, 
---R---, 4:00P-5:20P, South Campus / ERG, 8, 6, 0, PHYSICAL EDUCATION(L28), Fundamentals of Rowing for Fitness, Black, 
-T-R---, 4:00P-4:50P, Athletic Complx / F GYM, 40, 12, 0, PHYSICAL EDUCATION(L28), High Intensity Conditioning, Henderson Juckem, 
TBA, , Sumers Rec Ctr / SUM, 62, 58, 0, PHYSICAL EDUCATION(L28), Topics in Physical Education: Independent Fitness & Conditioning, Amsberry McMullen, 
-T-R---, 10:00A-11:20A, Athletic Complx / TAO, 18, 17, 0, PHYSICAL EDUCATION(L28), Intermediate/Advanced Tennis, Madara, 
-T-R---, 1:00P-2:20P, Sumers Rec Ctr / SUM, 14, 4, 0, PHYSICAL EDUCATION(L28), Fundamentals of Fitness:  Personal Training, Reeves, 
---R---, 3:00P-5:50P, Seigle / L003, 15, 8, 0, SOCIOLOGY(L40), First-Year Seminar: Monumental Anti-Racism, Ward, 
M-W----, 1:00P-2:20P, Rebstock / 215, 175, 152, 0, SOCIOLOGY(L40), The Roots of Ferguson: Understanding Racial Inequality in the Contemporary U.S., Rosenfeld, 
-T-R---, 4:00P-5:20P, Simon / 023, 60, 18, 0, SOCIOLOGY(L40), Social Movements, Luna, 
-T-R---, 8:30A-9:50A, Wrighton / 201, 25, 16, 0, SOCIOLOGY(L40), Topics in Sociology: Children Identity and Inequality, Hou, 
-T-R---, 1:00P-2:20P, Seigle / 103, 25, 22, 0, SOCIOLOGY(L40), Black Feminist Theory, Luna, 
M-W----, 8:30A-9:50A, Seigle / 103, 30, 11, 0, SOCIOLOGY(L40), Introduction to Research Methods, Wyndham-Douds, 
-T-R---, 10:00A-11:20A, Seigle / L004, 29, 28, 0, SOCIOLOGY(L40), Statistics for Sociology, Adler, 
M-W----, 4:00P-5:20P, Mallinckrodt / 303, 25, 22, 0, SOCIOLOGY(L40), DEVIANCE AND SOCIETY, Moore, 
-T-R---, 11:30A-12:50P, Seigle / L006, 25, 21, 0, SOCIOLOGY(L40), Gender in Society, Hou, 
-T-R---, 2:30P-3:50P, Seigle / 104, 25, 11, 0, SOCIOLOGY(L40), Political Sociology, Adler, 
M-W----, 2:30P-3:50P, Seigle / 206, 30, 29, 0, SOCIOLOGY(L40), Global Structures and Problems, Hou, 
M------, 3:00P-5:50P, TBA, 0, 5, 0, SOCIOLOGY(L40), Central Questions and Approaches in Sociology, Rosenfeld, 
M------, 3:00P-5:50P, TBA, 0, 5, 0, SOCIOLOGY(L40), Sociology Professional Development, Rosenfeld, 
--W----, 2:30P-5:20P, Seigle / L002, 10, 5, 0, SOCIOLOGY(L40), Qualitative Methods, Korver-Glenn, 
-T-----, 3:00P-5:50P, Umrath / 140, 0, 5, 0, SOCIOLOGY(L40), SOCIOLOGICAL THEORY, Wingfield, 
M------, 5:30P-8:30P, Eads / 102, 15, 6, 0, APPLIED LINGUISTICS(L92), The Linguistic Legacy of the African Slave Trade in Interdisciplinary Perspective, Baugh, 
M-W-F--, 3:00P-3:50P, Brown / 118, 175, 86, 0, APPLIED LINGUISTICS(L92), Introduction to Social Psychology, Lambert, 
-T-R---, 10:00A-11:20A, Somers Family / 220, 24, 14, 0, APPLIED LINGUISTICS(L92), Language Acquisition, Treiman, 
M-W----, 10:00A-11:20A, Seigle / L002, 19, 15, 0, APPLIED LINGUISTICS(L92), Linguistics and Language Learning, Brantmeier, 
-T-----, 4:00P-5:50P, Rudolph / 282, 12, 8, 0, APPLIED LINGUISTICS(L92), Grammar and Vocabulary Acquisition, Barcroft, 
-T-----, 6:00P-7:00P, Rudolph / 282, 12, 8, 0, APPLIED LINGUISTICS(L92), Grammar and Vocabulary Acquisition, Barcroft, 
MTWRF--, 10:00A-10:50A, Busch / 202, 14, 13, 0, CHINESE(L04), First-Level Modern Chinese I, Nie, 
MTWRF--, 12:00P-12:50P, Eads / 112, 14, 10, 0, CHINESE(L04), First-Level Modern Chinese I, Wang W, 
-T-----, 9:00A-9:50A, Eads / 212, 12, 5, 0, CHINESE(L04), First-Level Modern Chinese I, Li, 
-T-----, 9:00A-9:50A, Eads / 208, 12, 6, 0, CHINESE(L04), First-Level Modern Chinese I, Nie, 
-T-----, 3:00P-3:50P, Eads / 212, 12, 7, 0, CHINESE(L04), First-Level Modern Chinese I, Ma, 
-T-----, 4:00P-4:50P, Eads / 212, 12, 5, 0, CHINESE(L04), First-Level Modern Chinese I, Ma, 
--W----M------, 11:30A-12:50P11:30A-12:50P, Wom Bldg / ST2   Seigle / 305, 15, 12, 0, CHINESE(L04), Ampersand: Encountering Chinese Culture: A Performative Perspective on Chinese Culture and Identity, Ma, 
M-W-F--, 9:00A-9:50A, Lopata Hall / 201, 14, 4, 0, CHINESE(L04), Basic Chinese II, Chen W, 
M-W-F--, 12:00P-12:50P, Lopata Hall / 201, 14, 3, 0, CHINESE(L04), Basic Chinese II, Chen W, 
M-W----, 11:30A-12:50P, Cupples I / 215, 15, 11, 0, CHINESE(L04), First-Year Seminar: Exploring East Asian Classics, Poletto, 
M-W-F--, 3:00P-3:50P, Eads / 207, 14, 7, 0, CHINESE(L04), Advanced Chinese for Heritage Speakers I, Liang, 
M-W----, 2:30P-3:50P, Seigle / 301, 65, 63, 0, CHINESE(L04), Archaeology of China: Food and People, Liu, 
-T-R---, 1:00P-2:20P, Eads / 204, 20, 15, 0, CHINESE(L04), Economic History of China: From the Silver Age to Reform and Opening 1600 to Today, Reynolds, 
M-W----, 4:00P-5:20P, Lopata Hall / 302, 19, 13, 0, CHINESE(L04), Topics in Chinese Literature & Culture: The Cultural Lives of the Environment in China 1949-Present, Gao, 
M-W----, 2:30P-3:50P, Lopata Hall / 202, 19, 14, 0, CHINESE(L04), Topics in East Asian Religions: The Lotus Sutra in East Asia: Buddhism Art Literature, Poletto, 
-T-R---, 1:00P-2:20P, Eads / 211, 0, 19, 0, CHINESE(L04), EALC Seminar: Screening East Asia: From Scroll Painting to Haptic Interface, Chen J, 
-T-----, 7:00P-10:00P, Seigle / L006, 0, 19, 0, CHINESE(L04), EALC Seminar: Screening East Asia: From Scroll Painting to Haptic Interface, Chen J, 
M-W-F--, 1:00P-1:50P, Eads / 207, 12, 7, 0, CHINESE(L04), Fourth Level Modern Chinese I, Liang, 
M-W-F--, 2:00P-2:50P, Eads / 207, 12, 6, 0, CHINESE(L04), Fourth Level Modern Chinese I, Liang, 
M-W-F--, 1:00P-1:50P, Cupples I / 216, 10, 6, 0, CHINESE(L04), Fifth-Level Modern Chinese I, Nie, 
M-W-F--, 1:00P-1:50P, Eads / 207, 12, 7, 0, CHINESE(L04), Fourth Level Modern Chinese I, Liang, 
M-W-F--, 2:00P-2:50P, Eads / 207, 12, 6, 0, CHINESE(L04), Fourth Level Modern Chinese I, Liang, 
M-W-F--, 1:00P-1:50P, Cupples I / 216, 10, 6, 0, CHINESE(L04), Fifth-Level Modern Chinese I, Nie, 
M------, 3:00P-5:50P, Eads / 211, 15, 5, 0, CHINESE(L04), Special Topic in Modern Chinese Literature: Representation and Forgetting of the Mao Years, Chen L, 
TBA, , TBA, 0, 0, 0, CHINESE(L04), Thesis Research, [TBA], 
TBA, , TBA, 0, 0, 0, CHINESE(L04), Thesis Research, [TBA], 
TBA, , TBA, 0, 0, 0, CHINESE(L04), Dissertation Research, Chen, 
TBA, , TBA, 0, 0, 0, CHINESE(L04), Dissertation Research, [TBA], 
TBA, , TBA, 0, 0, 0, CHINESE(L04), Dissertation Research, [TBA], 
M------, 10:00A-10:50A, Mallinckrodt / 303, 36, 12, 0, ENGLISH LITERATURE(L14), First-Year Seminar: The Literary Life, Riker, 
--W-F--, 10:00A-10:50A, Mallinckrodt / 303, 12, 7, 0, ENGLISH LITERATURE(L14), First-Year Seminar: The Literary Life, Riker, 
--W-F--, 10:00A-10:50A, Weil / 010, 12, 5, 0, ENGLISH LITERATURE(L14), First-Year Seminar: The Literary Life, Tran, 
M-W----, 4:00P-5:20P, Rudolph / 282, 15, 12, 0, ENGLISH LITERATURE(L14), First-Year Seminar: What We Might Have Been: Utopianism in American Literature, Blanc, 
M-W----, 2:30P-3:50P, Cupples I / 115, 15, 10, 0, ENGLISH LITERATURE(L14), First-Year Seminar: Detective Fiction from Poe to Doyle, McKelvy, 
M-W----, 11:30A-12:50P, Seigle / 103, 18, 17, 0, ENGLISH LITERATURE(L14), First-Year Seminar: Literature of Addiction: From Opium to Adderall, Henderson, 
M-W----, 2:30P-3:50P, Simon / 023, 75, 74, 0, ENGLISH LITERATURE(L14), Morality and Markets, Boumgarden Van Engen, 
M-W----, 1:00P-2:20P, McDonnell / 362, 15, 12, 0, ENGLISH LITERATURE(L14), Literature in English: Modern Texts and Contexts, Eng, 
-T-R---, 4:00P-5:20P, Cupples II / 203, 15, 12, 0, ENGLISH LITERATURE(L14), Literature in English: Modern Texts and Contexts, Weston, 
M-W----, 2:30P-3:50P, Sever / 300, 18, 17, 0, ENGLISH LITERATURE(L14), Literature in English: Modern Texts and Contexts, Maciak, 
M-W----, 2:30P-3:50P, Cupples II / 200, 15, 10, 0, ENGLISH LITERATURE(L14), Publishing: History and Contexts, Riker, 
-T-R---, 11:30A-12:50P, Eads / 203, 15, 14, 0, ENGLISH LITERATURE(L14), Sophomore Seminar: Tales of New York: Writing the Capital of the Twentieth Century, Maxwell, 
-T-R---, 11:30A-12:50P, Mallinckrodt / 305, 15, 12, 0, ENGLISH LITERATURE(L14), Literary Modernities in Europe and America: Text and Traditions, Fischer, 
-T-R---, 2:30P-3:50P, Ridgley / 219, 25, 23, 0, ENGLISH LITERATURE(L14), Caribbean Literature in English, Brown, 
M-W----, 4:00P-5:20P, Cupples II / L011, 19, 6, 0, ENGLISH LITERATURE(L14), Topics in Literature: Colonialism and Climate Change, Thompson, 
-T-R---, 10:00A-11:20A, Crow / 205, 19, 18, 0, ENGLISH LITERATURE(L14), Selected Writers: Jane Austen, Pawl, 
M-W----, 1:00P-2:20P, Duncker / 1, 15, 3, 0, ENGLISH LITERATURE(L14), Topics in Literature: The Big World of the Little African Magazine, Adwetewa-Badu, 
M-W----, 10:00A-11:20A, Life Sciences / 118, 25, 5, 0, ENGLISH LITERATURE(L14), Topics in Literature: The Practice of Diaspora: Literatures of Race Power and Cultural Crossings, Adwetewa-Badu, 
-T-R---, 4:00P-5:20P, Eads / 215, 25, 23, 0, ENGLISH LITERATURE(L14), From Ghetto to Gated: Blacks and Jews in America, Zafar, 
M-W----, 2:30P-3:50P, Rudolph / 203, 25, 22, 0, ENGLISH LITERATURE(L14), The Bible as Literature, Thomas, 
M-W----, 11:30A-12:50P, Louderman / 461, 25, 24, 0, ENGLISH LITERATURE(L14), Shakespeare: The Godly and the Grotesque, Sommers, 
---R---, 4:00P-6:20P, Eads / 209, 10, 7, 0, ENGLISH LITERATURE(L14), Senior Research Seminar I, Batten, 
--W-F--, 11:30A-12:50P, Seigle / 104, 19, 9, 0, ENGLISH LITERATURE(L14), American Film Genres, Studlar, 
---R---, 4:00P-6:50P, Brown / 100, 19, 9, 0, ENGLISH LITERATURE(L14), American Film Genres, Studlar, 
-T-R---, 2:30P-3:50P, Duncker / 1, 15, 2, 0, ENGLISH LITERATURE(L14), Spenser, Loewenstein, 
-T-R---, 2:30P-3:50P, Duncker / 1, 15, 5, 0, ENGLISH LITERATURE(L14), The Spenser Lab, Loewenstein, 
---R---, 4:00P-4:50P, Eads / 004, 15, 5, 0, ENGLISH LITERATURE(L14), The Spenser Lab, Loewenstein, 
----F--, 11:00A-1:50P, Eads / 212, 8, 7, 0, ENGLISH LITERATURE(L14), Literary Studies and Graduate Research, Micir, 
---R---, 4:00P-6:20P, Eads / 205, 15, 12, 0, ENGLISH LITERATURE(L14), Seminar: Reconceiving the Harlem Renaissance: Black Modernism at 100, Maxwell, 
-T-----, 4:00P-6:20P, Eads / 115, 15, 6, 0, ENGLISH LITERATURE(L14), The 20th Century: Critical Making, Kirilloff, 
-T-R---, 2:30P-3:50P, Duncker / 1, 15, 5, 0, ENGLISH LITERATURE(L14), The Spenser Lab, Loewenstein, 
---R---, 4:00P-4:50P, Eads / 004, 15, 5, 0, ENGLISH LITERATURE(L14), The Spenser Lab, Loewenstein, 
MTWRF--, 10:00A-10:50A, Eads / 102, 18, 17, 0, HINDI(L73), Beginning Hindi I, Jain, 
M-W-F--, 4:00P-4:50P, Cupples I / 111, 15, 5, 0, HINDI(L73), Beginning Urdu, Shah, 
M-W----, 11:30A-12:50P, Busch / 100, 100, 92, 0, HINDI(L73), Introduction to Islamic Civilization, Yucesoy, 
M-W-F--, 12:00P-12:50P, Eads / 116, 15, 13, 0, HINDI(L73), INTERMEDIATE HINDI I, Jain, 
M-W-F--, 3:00P-3:50P, Cupples I / 111, 15, 4, 0, HINDI(L73), Intermediate Urdu I, Shah, 
M-W----, 1:00P-2:20P, Eads / 212, 10, 3, 0, HINDI(L73), Third Level Hindi I, Jain, 
M-W----, 5:00P-6:20P, Cupples I / 111, 15, 7, 0, HINDI(L73), Third-Level Urdu I, Shah, 
---R---, 3:00P-5:50P, January Hall / 10, 15, 14, 0, HINDI(L73), Imperialism and Sexuality: India South Asia and the World: Writing-Intensive Seminar, Chandra, 
-T-----, 4:00P-6:50P, Eads / 102, 19, 13, 0, LINGUISTICS(L44), Introduction to Sociolinguistics, Baugh, 
--W----, 4:00P-6:50P, Eads / 102, 19, 12, 0, LINGUISTICS(L44), Linguistic Diversity in the United States, Baugh, 
-T-R---, 11:30A-12:50P, Sever / 102, 12, 3, 0, LINGUISTICS(L44), Senior Seminar in Linguistics: Optimality Theory, Danis, 
-T-R---, 4:00P-5:20P, McDonnell / 362, 25, 21, 0, PHYSICS(L31), First-Year Seminar: All About Black Holes, Krawczynski, 
-T-R---, 1:00P-2:20P, Crow / 204, 80, 26, 0, PHYSICS(L31), Physics of Sustainable Energy, Alford, 
M-W----, 1:00P-2:20P, Crow / 204, 55, 43, 0, PHYSICS(L31), Focused Physics I, Tikhonov, 
----F--, 1:00P-1:50P, Crow / 204, 55, 43, 0, PHYSICS(L31), Focused Physics I, Medeiros da Rosa, 
---R----T-----, 5:00P-6:00P6:00P-8:00P, Crow / 206   Crow / 206, 30, 15, 0, PHYSICS(L31), General Physics I, Iyer, 
---R---, 6:00P-9:00P, Crow / 311, 24, 13, 0, PHYSICS(L31), General Physics I Lab, Ran, 
M-W-F--, 11:00A-11:50A, Crow / 204, 80, 34, 0, PHYSICS(L31), Introduction to Quantum Physics, Ogliore, 
M-W----, 8:30A-9:50A, Crow / 204, 50, 9, 0, PHYSICS(L31), Introduction to Astrophysics, Errando Trias, 
-T-R---, 1:00P-2:20P, Crow / 206, 16, 1, 0, PHYSICS(L31), Electronics Laboratory, Buckley, 
-T-R---, 2:30P-4:50P, Crow / 302, 16, 1, 0, PHYSICS(L31), Electronics Laboratory, Buckley, 
-T-R---, 8:30A-9:50A, Crow / 206, 39, 19, 0, PHYSICS(L31), Planets and Life in the Universe, Daylan, 
-T-R---, 8:30A-9:50A, Crow / 204, 70, 17, 0, PHYSICS(L31), Physics of Vision, Wessel, 
-T-R---, 1:00P-4:50P, Crow / 306, 13, 10, 0, PHYSICS(L31), Biophysics Laboratory, Mukherji, 
-T-----, 2:30P-3:50P, Cupples II / L015, 12, 5, 0, PHYSICS(L31), Physical Science in 12 Problems, Sobotka, 
-T-R---, 10:00A-11:20A, Crow / 204, 50, 25, 0, PHYSICS(L31), Electricity and Magnetism, Yuan, 
M-W-F--, 9:00A-9:50A, Crow / 206, 40, 37, 0, PHYSICS(L31), Introduction to Computational Physics, Chen, 
M-W----, 2:30P-4:00P, Louderman / 561, 8, 2, 0, PHYSICS(L31), Introduction to the Atomic Nucleus, Sobotka, 
M-W----, 8:30A-9:50A, Crow / 205, 45, 11, 0, PHYSICS(L31), Statistical Mechanics and Thermodynamics, Murch Zu, 
M-W-F--, 10:00A-10:50A, Crow / 206, 30, 9, 0, PHYSICS(L31), Quantum Mechanics, Nussinov, 
-T-----, 2:30P-3:50P, Cupples II / L015, 12, 5, 0, PHYSICS(L31), Physical Science in 12 Problems, Sobotka, 
M-W-F--, 1:00P-1:50P, Crow / 206, 50, 35, 0, PHYSICS(L31), Theoretical Physics, Seidel, 
-T-R---, 10:00A-11:20A, Crow / 204, 50, 25, 0, PHYSICS(L31), Electricity and Magnetism I, Yuan, 
M-W-F--, 9:00A-9:50A, Crow / 206, 40, 37, 0, PHYSICS(L31), Introduction to Computational Physics, Chen, 
M-W----, 2:30P-4:00P, Louderman / 561, 8, 2, 0, PHYSICS(L31), Introduction to the Atomic Nucleus, Sobotka, 
-T-R---, 10:00A-11:20A, Crow / 206, 40, 22, 0, PHYSICS(L31), Classical Electrodynamics I, Yang, 
M-W----, 8:30A-9:50A, Crow / 205, 45, 11, 0, PHYSICS(L31), Statistical Mechanics and Thermodynamics, Murch Zu, 
M-W-F--, 10:00A-10:50A, Crow / 206, 30, 9, 0, PHYSICS(L31), Quantum Mechanics, Nussinov, 
M-W-F--, 10:00A-10:50A, Crow / 204, 45, 33, 0, PHYSICS(L31), Quantum Mechanics I, Dev, 
-T-R---, 8:30A-9:50A, Crow / 206, 39, 19, 0, PHYSICS(L31), Planets and Life in the Universe, Daylan, 
-T-R---, 11:30A-12:50P, Crow / 206, 30, 10, 0, PHYSICS(L31), Quantum Theory of Many-Particle Systems, Dickhoff, 
M-W----, 4:00P-5:20P, Crow / 206, 25, 16, 0, PHYSICS(L31), Relativistic Quantum Mechanics, Ferrer, 
-T-R---, 4:00P-5:20P, Crow / 205, 20, 2, 0, PHYSICS(L31), Relativistic Astrophysics, Katz, 
-T-----, 4:00P-4:50P, Crow / 206, 40, 27, 0, PHYSICS(L31), Research Seminar, Sullivan, 
---R---, 4:00P-4:50P, Crow / 206, 30, 26, 0, PHYSICS(L31), Supervised Teaching of Physics, Hynes, 
M-W-F--, 11:00A-11:50A, Rudolph / 282, 12, 11, 0, SPANISH(L38), Language and Culture for Heritage Speakers of Spanish, Doran, 
M-W-F--, 10:00A-10:50A, Rudolph / 282, 12, 8, 0, SPANISH(L38), Language and Culture for Heritage Speakers of Spanish, Doran, 
TBA, , TBA, 0, 5, 0, SPANISH(L38), Spanish Culture and Civilization, Suelzer, 
M-W----, 2:30P-3:50P, Eads / 204, 15, 13, 0, SPANISH(L38), Debating Cultures. How Spanish Works, Doran, 
